path,size_bytes,last_commit_date,sqlite_hits,intelligence_dir_hits,openclaw_hits,vps_hits,todo_open_hits,phase1_hits,total_stale_hits,suggested_tier
docs/HANDOFF_2026_04_09_MIDMORNING.md,20393,2026-04-29,1,0,74,19,0,1,95,ARCHIVE (historical)
docs/RESUME_HERE_2026_04_08_EVENING.md,24803,2026-04-29,1,3,57,8,0,3,72,DELETE (one-shot)
docs/MG_UNIFIED_TODO_LIST.md,41718,2026-04-29,2,0,23,9,24,4,62,UPDATE (has stale terms)
CLAUDE.md,53971,2026-04-29,8,2,18,22,0,0,50,"REWRITE (root-level, high visibility)"
AI_ROADMAP.md,38653,2026-04-29,4,4,26,10,0,5,49,"REWRITE (root-level, high visibility)"
REPAIR_LOG.md,112525,2026-04-29,23,0,2,14,0,7,46,"REWRITE (root-level, high visibility)"
docs/DB_STATE_2026-04-23.md,8484,2026-04-29,8,0,0,27,0,2,37,ARCHIVE (migration done)
docs/SESSION_HANDOFF_2026-04-24.md,25883,2026-04-29,6,0,14,16,0,1,37,ARCHIVE (historical)
README.md,35680,2026-04-29,5,2,14,12,0,2,35,"REWRITE (root-level, high visibility)"
docs/archive/OPENCLAW_INTEGRATION.md,10092,2026-04-29,0,0,28,0,0,1,29,ARCHIVE-EXISTING
DEPLOYMENT_CHECKLIST.md,16700,2026-04-29,2,0,0,24,0,1,27,"REWRITE (root-level, high visibility)"
docs/POSTGRES_MIGRATION_PLAN_2026-04-23.md,14001,2026-04-29,9,0,8,3,0,6,26,ARCHIVE (migration done)
docs/VISION.md,22764,2026-04-29,1,2,18,2,0,1,24,UPDATE (has stale terms)
docs/MAC_MINI_DEPLOYMENT_RUNBOOK.md,11909,2026-04-29,2,0,1,19,0,1,23,UPDATE (has stale terms)
docs/archive/OPENCLAW_AUDIT_2026-04-23.md,4005,2026-04-29,0,0,22,1,0,0,23,ARCHIVE-EXISTING
docs/RESUME_HERE_2026_04_08_0840.md,6789,2026-04-29,0,0,17,5,0,0,22,DELETE (one-shot)
docs/POSTGRES_MIGRATION_STATUS_2026-04-24.md,10830,2026-04-29,11,0,0,0,0,7,18,ARCHIVE (migration done)
docs/SESSION_LOG_2026-04-24.md,23050,2026-04-29,6,0,2,2,0,8,18,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-27.md,54397,2026-04-29,0,3,8,5,0,0,16,ARCHIVE (historical)
docs/RESUME_HERE_2026_04_08.md,5532,2026-04-29,0,0,12,2,0,1,15,DELETE (one-shot)
NEXT_SESSION.md,8753,2026-04-29,8,0,0,6,0,0,14,DELETE (one-shot)
docs/CAPABILITIES.md,9664,2026-04-29,0,0,9,5,0,0,14,UPDATE (has stale terms)
docs/CLOUDFLARE_MIGRATION.md,4402,2026-04-29,0,0,8,6,0,0,14,UPDATE (has stale terms)
docs/POSTGRES_STAGING_STATE_2026-04-23.md,5835,2026-04-29,7,0,0,5,0,1,13,ARCHIVE (migration done)
intelligence/README.md,10758,2026-04-29,1,1,0,4,0,7,13,DELETE (deprecated tree)
docs/CATALOG_ORPHAN_TABLES_2026-04-28.md,24253,2026-04-29,0,9,2,1,0,0,12,UPDATE (has stale terms)
docs/GRAFANA_PROMETHEUS_PLAN.md,5869,2026-04-29,3,0,0,8,0,0,11,UPDATE (has stale terms)
docs/MONDAY_INTELLIGENCE_CATALOG_PLAN.md,15901,2026-04-29,0,5,0,5,0,1,11,UPDATE (has stale terms)
docs/ROADMAP_TO_MAC_MINI_2026-05-05.md,11485,2026-04-29,1,0,6,3,0,1,11,UPDATE (has stale terms)
docs/SESSION_REPORT_2026-04-23.md,7495,2026-04-29,5,0,0,5,0,0,10,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-09.md,26343,2026-04-29,0,0,4,5,0,0,9,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-26.md,10174,2026-04-29,1,0,3,3,0,2,9,ARCHIVE (historical)
docs/DEMO_DAY_HANDOFF_2026_04_08.md,14480,2026-04-29,0,0,0,7,0,1,8,UPDATE (has stale terms)
docs/SESSION_LOG_2026-04-22.md,8946,2026-04-29,3,0,0,0,0,5,8,ARCHIVE (historical)
SESSION_COMPLETE.md,3971,2026-04-29,2,0,1,4,0,0,7,"REWRITE (root-level, high visibility)"
docs/DB_STATE_2026-04-22.md,4060,2026-04-29,6,0,0,1,0,0,7,ARCHIVE (migration done)
docs/POSTGRES_MIGRATION_STATUS_2026-04-23.md,6554,2026-04-29,3,0,0,4,0,0,7,ARCHIVE (migration done)
.claude/commands/wrap-up.md,8352,2026-04-29,0,0,0,0,6,0,6,REVIEW (.claude tooling)
docs/INTELLIGENCE_CATALOG_STATUS.md,4795,2026-04-29,0,2,0,3,0,1,6,UPDATE (has stale terms)
docs/LATENT_BUGS.md,25180,2026-04-29,0,0,0,6,0,0,6,UPDATE (has stale terms)
intelligence/docs/intelligence_catalog_design_notes.md,26024,2026-04-29,1,0,0,5,0,0,6,DELETE (deprecated tree)
docs/CORS_LOCKDOWN_PLAN.md,2201,2026-04-29,0,0,4,1,0,0,5,UPDATE (has stale terms)
docs/DECISIONS.md,14616,2026-04-29,3,0,1,0,0,1,5,UPDATE (has stale terms)
docs/HVAC_SYSTEMS.md,5553,2026-04-29,0,0,0,5,0,0,5,UPDATE (has stale terms)
docs/SESSION_NOTE_2026-04-29_grafana_dropdown.md,4861,2026-04-29,0,0,0,5,0,0,5,ARCHIVE (historical)
docs/archive/OPENCLAW_GUARDIAN_DB_STATUS.md,1627,2026-04-29,0,0,5,0,0,0,5,ARCHIVE-EXISTING
intelligence-catalog/FIELD_INTELLIGENCE_PIPELINE.md,23534,2026-04-29,3,0,0,0,0,2,5,DELETE (deprecated tree)
docs/BUCKET_10_REPO_DOCS_AUDIT_2026-04-29.md,18014,2026-04-29,0,0,0,1,2,1,4,ARCHIVE (point-in-time)
docs/HOW_TO_UPLOAD_LOGS_TO_CLAUDE.md,6228,2026-04-29,0,0,0,3,0,1,4,UPDATE (has stale terms)
docs/MORNING_KICKOFF_PROMPT.md,7160,2026-04-29,0,0,1,3,0,0,4,DELETE (one-shot)
docs/OUTSIDE_INIT_DB_AUDIT_2026-04-23.md,5684,2026-04-29,4,0,0,0,0,0,4,ARCHIVE (migration done)
docs/SESSION_LOG_2026-04-28.md,37428,2026-04-29,0,0,1,3,0,0,4,ARCHIVE (historical)
docs/SESSION_NOTE_2026-04-29_operator_schedules.md,6659,2026-04-29,0,0,0,4,0,0,4,ARCHIVE (historical)
intelligence/DEPRECATED.md,2800,2026-04-29,0,3,1,0,0,0,4,DELETE (deprecated tree)
.claude/commands/create-plan.md,39031,2026-04-29,0,0,0,0,0,3,3,REVIEW (.claude tooling)
docs/CRON_RECONCILIATION.md,735,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/DAILY_DEEP_DIVE_DESIGN.md,18990,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/OPERATOR_SCHEDULES.md,5740,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/SESSION_2026-04-13_S21_TEST_AND_FIXES.md,6670,2026-04-29,0,0,0,2,0,1,3,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-13.md,5061,2026-04-29,0,0,0,3,0,0,3,ARCHIVE (historical)
docs/TESTING.md,2656,2026-04-29,2,0,1,0,0,0,3,UPDATE (has stale terms)
.claude/agents/orchestrator.md,11363,2026-04-29,0,0,0,0,0,2,2,REVIEW (.claude tooling)
.claude/commands/next.md,6120,2026-04-29,0,0,0,0,2,0,2,REVIEW (.claude tooling)
.claude/commands/plan.md,4476,2026-04-29,0,0,0,0,0,2,2,REVIEW (.claude tooling)
.claude/hooks/README.md,6147,2026-04-29,0,0,0,0,2,0,2,REVIEW (.claude tooling)
